Execution paths,Estimated instructions,Estimated time (s),,,ClaseD,Execution paths,Estimated instructions,Estimated time (s),,,,,
btB_add_start',3711073400,1.2,,,,btD_add_start',359961078000,147.395,,,,,1473.95
btB_add_stop',3711073400,1.2,,,,btD_add_stop',359961078000,147.395,,,,,1473.95
btB_com_start',91004741900,32.6,,,,btD_com_start',8825151388625,3142.115,,,,,31421.15
btB_com_stop,91004741900,32.6,,,,btD_com_stop,8825151388625,3142.115,,,,,31421.15
btB_x_bc',205458061400,73.7,,,,btD_x_bc',16666873436300,6530.7,,,,,65307
btB_x_bv',38384061400,15.2,,,,btD_x_bv',3160829731300,1400.5,,,,,14005
btB_x_mv',55372061400,21.6,,,,btD_x_mv',4725164580300,2092.04,,,,,20920.4
btB_x_mm',135768061400,49.9,,,,btD_x_mm',10997916142300,4342.04,,,,,43420.4
btB_x_lh',38410061400,15.3,,,,btD_x_lh',3162107210300,1400.91,,,,,14009.1
btB_y_bc',206268461400,77.7,,,,btD_y_bc',16733969930100,7052.13,,,,,70521.3
btB_y_bv',39194461400,16.6,,,,btD_y_bv',3227926225100,1563.15,,,,,15631.5
btB_y_mv',56182461400,23.3,,,,btD_y_mv',4792261074100,2300.74,,,,,23007.4
btB_y_mm',136578461400,51.3,,,,btD_y_mm',12261433533100,5271.74,,,,,52717.4
btB_y_lh',39220461400,16.9,,,,btD_y_lh',3229203704100,1585.95,,,,,15859.5
btB_z_bc',206067669400,77.4,,,,btD_z_bc',16700392715350,7586.5,,,,,75865
btB_z_bv',38993669400,16.8,,,,btD_z_bv',3194349010350,1729.71,,,,,17297.1
btB_z_mv',55981669400,23.6,,,,btD_z_mv',4758683859350,2527.02,,,,,25270.2
btB_z_mm',132741669400,49.5,,,,btD_z_mm',11031435421350,5099.25,,,,,50992.5
btB_z_lh',39019669400,16.8,,,,btD_z_lh',3195626489350,1734.86,,,,,17348.6
,,613.2,Tiempo estimado de toda la ejecución,,,,,58796.26,Tiempo estimado de toda la ejecución,,,,